Stand,Block,Treatment,SR_Poll,ABU_Poll_4y,Abu_Flow,SR_Flow,spec_woody,abu_woody,spec_nonwoody,abu_nonwoody,Detections,Days,ABU_Art,SR_Art,raresr_moth,abu_moth,effort_moth
128R,SLTZ,MODERATE,6,72,7962,11,6,23.13,22,120.87,210,606,357,32,37.13431103,623,23
BEAV,GRRO,CONTROL,8,36,4237,14,10,224.67,25,173.03,618,671,494,32,44.89211797,334,23
BOEA,FOGR,MODERATE,13,44,4623,19,5,54.89,21,118.42,690,652,361,35,32.73086829,265,20
BOWE,FOGR,CONTROL,13,90,3000,24,12,143.6,37,362.28,286,602,409,40,40.54220319,310,23
BRON,LUCK,LIGHT,21,34,7637,14,11,216.83,32,294.98,182,397,935,43,48.80009943,243,21
BUCK,SLTZ,CONTROL,14,122,2960,13,13,256.84,21,143.78,18,732,353,35,43.64026958,519,24
CHEF,WILL,MODERATE,12,35,3392,20,11,75.58,29,290.2,2106,681,678,34,43.03191917,224,21
CORN,WILL,LIGHT,14,86,3500,25,14,316.25,45,338.88,652,431,931,43,52.13563187,213,22
FAIR,TRSK,MODERATE,8,32,6869,16,8,84.96,23,189.88,159,559,541,35,37,110,23
FTIE,SLTZ,LIGHT,10,38,3877,14,7,47.07,20,113.34,533,672,222,26,38.94041544,596,22
GLWA,WILL,INTENSIVE,7,139,5573,15,10,40.41,26,409.78,252,541,1213,43,46.66340763,134,24
HEAD,GRRO,INTENSIVE,6,65,3324,14,5,19.71,15,44.32,515,698,224,22,45.42200419,366,24
MIDI,BLRO,LIGHT,16,95,2398,19,8,41.4,27,258.45,415,722,498,35,53.0377273,381,21
N123,SLTZ,INTENSIVE,4,17,1578,9,7,40.37,24,50.86,220,661,365,22,36.31952746,984,23
NWRO,LUCK,INTENSIVE,16,58,8244,15,10,8.08,20,215.93,299,736,1329,35,37.47311742,348,24
RUBO,BLRO,MODERATE,7,76,2254,20,9,78.21,30,183.01,967,725,948,38,45.28967912,165,24
SAGR,BLRO,CONTROL,14,61,1108,15,17,353.05,50,421.28,1586,721,480,39,55.72624682,212,24
SAPA,BLRO,INTENSIVE,14,203,3559,17,11,31.23,15,202.3,602,712,1628,49,51.97761866,257,22
SCRM,LUCK,MODERATE,15,101,3534,19,13,95.65,28,248.94,204,632,1236,41,46.65926176,253,21
STRT,GRRO,LIGHT,8,32,1954,17,4,34.57,21,99.57,285,578,281,28,42.44179971,418,22
TEAS,LUCK,CONTROL,23,78,3687,15,13,351.93,35,203.02,132,736,694,42,43.1455956,329,22
TOL7,TRSK,CONTROL,16,62,4203,25,16,248.78,46,311.24,1385,651,1254,44,39.37894809,185,24
TOPI,TRSK,INTENSIVE,9,59,3777,17,7,25.41,14,59.5,661,704,196,26,33.24351173,211,24
TSUN,WILL,CONTROL,18,35,2842,26,15,105.28,50,441.12,724,609,700,46,48.96785434,196,20
UFAL,FOGR,LIGHT,10,44,4116,21,11,274.74,39,150.13,477,534,668,49,41.23542402,368,22
WEFL,TRSK,LIGHT,6,29,2663,17,8,121.2,12,389.13,405,489,381,37,29.61977403,245,24
WOWI,FOGR,INTENSIVE,12,49,6125,20,8,101.87,22,99.78,350,649,644,37,24.50583973,329,22
YELO,GRRO,MODERATE,5,58,3323,16,5,49.29,20,111.26,931,703,516,31,47.14153222,341,20
TILL,HOLE4A,LIGHT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47.00859915,716,21
TILL,HOLE4C,MODERATE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.74068017,749,23
TILL,HOLE5A,INTENSIVE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.51960283,585,21
TILL,HOLE5C,CONTROL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.36631063,760,22
